unit_id,received_dttm,predicted_response_time_seconds,actual_response_time_seconds,call_type,call_type_group,original_priority,unit_type,station_area,battalion,neighborhood_district,zipcode_of_incident,on_scene_dttm,raw_predict_payload,normalized_predict_payload,raw_actual_payload,normalized_actual_payload
M560,2026-01-01T17:47:47.000,877.76917,831,Medical Incident,Non Life-threatening,2,MEDIC,21,B05,Haight Ashbury,94117,2026-01-01T18:01:38.000,"{""call_type"": ""Medical Incident"", ""call_type_group"": ""Non Life-threatening"", ""original_priority"": ""2"", ""unit_id"": ""M560"", ""unit_type"": ""MEDIC"", ""station_area"": ""21"", ""battalion"": ""B05"", ""neighborhood_district"": ""Haight Ashbury"", ""zipcode_of_incident"": ""94117"", ""received_dttm"": ""2026-01-01T17:47:47.000""}","{""call_type"": ""Medical Incident"", ""call_type_group"": ""Non Life-threatening"", ""original_priority"": ""2"", ""unit_id"": ""M560"", ""unit_type"": ""MEDIC"", ""station_area"": ""21"", ""battalion"": ""B05"", ""neighborhood_district"": ""Haight Ashbury"", ""zipcode_of_incident"": ""94117"", ""received_dttm"": ""2026-01-01T17:47:47.000""}","{""unit_id"": ""M560"", ""received_dttm"": ""2026-01-01T17:47:47.000"", ""on_scene_dttm"": ""2026-01-01T18:01:38.000""}","{""unit_id"": ""M560"", ""received_dttm"": ""2026-01-01T17:47:47.000"", ""on_scene_dttm"": ""2026-01-01T18:01:38.000""}"
T01,2026-01-01T12:31:20.000,559.45874,1127,Elevator / Escalator Rescue,Alarm,3,TRUCK,1,B03,South of Market,94103,2026-01-01T12:50:07.000,"{""call_type"": ""Elevator / Escalator Rescue"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""T01"", ""unit_type"": ""TRUCK"", ""station_area"": ""1"", ""battalion"": ""B03"", ""neighborhood_district"": ""South of Market"", ""zipcode_of_incident"": ""94103"", ""received_dttm"": ""2026-01-01T12:31:20.000""}","{""call_type"": ""Elevator / Escalator Rescue"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""T01"", ""unit_type"": ""TRUCK"", ""station_area"": ""1"", ""battalion"": ""B03"", ""neighborhood_district"": ""South of Market"", ""zipcode_of_incident"": ""94103"", ""received_dttm"": ""2026-01-01T12:31:20.000""}","{""unit_id"": ""T01"", ""received_dttm"": ""2026-01-01T12:31:20.000"", ""on_scene_dttm"": ""2026-01-01T12:50:07.000""}","{""unit_id"": ""T01"", ""received_dttm"": ""2026-01-01T12:31:20.000"", ""on_scene_dttm"": ""2026-01-01T12:50:07.000""}"
M571,2026-01-01T20:36:55.000,499.20364,806,Medical Incident,Potentially Life-Threatening,3,MEDIC,31,B07,Inner Richmond,94118,2026-01-01T20:50:21.000,"{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""3"", ""unit_id"": ""M571"", ""unit_type"": ""MEDIC"", ""station_area"": ""31"", ""battalion"": ""B07"", ""neighborhood_district"": ""Inner Richmond"", ""zipcode_of_incident"": ""94118"", ""received_dttm"": ""2026-01-01T20:36:55.000""}","{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""3"", ""unit_id"": ""M571"", ""unit_type"": ""MEDIC"", ""station_area"": ""31"", ""battalion"": ""B07"", ""neighborhood_district"": ""Inner Richmond"", ""zipcode_of_incident"": ""94118"", ""received_dttm"": ""2026-01-01T20:36:55.000""}","{""unit_id"": ""M571"", ""received_dttm"": ""2026-01-01T20:36:55.000"", ""on_scene_dttm"": ""2026-01-01T20:50:21.000""}","{""unit_id"": ""M571"", ""received_dttm"": ""2026-01-01T20:36:55.000"", ""on_scene_dttm"": ""2026-01-01T20:50:21.000""}"
B04,2026-01-01T10:34:42.000,525.6666,374,Alarms,Alarm,3,CHIEF,3,B04,Nob Hill,94109,2026-01-01T10:40:56.000,"{""call_type"": ""Alarms"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""B04"", ""unit_type"": ""CHIEF"", ""station_area"": ""3"", ""battalion"": ""B04"", ""neighborhood_district"": ""Nob Hill"", ""zipcode_of_incident"": ""94109"", ""received_dttm"": ""2026-01-01T10:34:42.000""}","{""call_type"": ""Alarms"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""B04"", ""unit_type"": ""CHIEF"", ""station_area"": ""3"", ""battalion"": ""B04"", ""neighborhood_district"": ""Nob Hill"", ""zipcode_of_incident"": ""94109"", ""received_dttm"": ""2026-01-01T10:34:42.000""}","{""unit_id"": ""B04"", ""received_dttm"": ""2026-01-01T10:34:42.000"", ""on_scene_dttm"": ""2026-01-01T10:40:56.000""}","{""unit_id"": ""B04"", ""received_dttm"": ""2026-01-01T10:34:42.000"", ""on_scene_dttm"": ""2026-01-01T10:40:56.000""}"
M576,2026-01-01T18:16:49.000,383.35956,1153,Medical Incident,Potentially Life-Threatening,3,MEDIC,3,B03,Tenderloin,94102,2026-01-01T18:36:02.000,"{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""3"", ""unit_id"": ""M576"", ""unit_type"": ""MEDIC"", ""station_area"": ""3"", ""battalion"": ""B03"", ""neighborhood_district"": ""Tenderloin"", ""zipcode_of_incident"": ""94102"", ""received_dttm"": ""2026-01-01T18:16:49.000""}","{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""3"", ""unit_id"": ""M576"", ""unit_type"": ""MEDIC"", ""station_area"": ""3"", ""battalion"": ""B03"", ""neighborhood_district"": ""Tenderloin"", ""zipcode_of_incident"": ""94102"", ""received_dttm"": ""2026-01-01T18:16:49.000""}","{""unit_id"": ""M576"", ""received_dttm"": ""2026-01-01T18:16:49.000"", ""on_scene_dttm"": ""2026-01-01T18:36:02.000""}","{""unit_id"": ""M576"", ""received_dttm"": ""2026-01-01T18:16:49.000"", ""on_scene_dttm"": ""2026-01-01T18:36:02.000""}"
M511,2026-01-01T15:12:59.000,429.35364,439,Medical Incident,Potentially Life-Threatening,3,MEDIC,11,B06,Bernal Heights,94110,2026-01-01T15:20:18.000,"{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""3"", ""unit_id"": ""M511"", ""unit_type"": ""MEDIC"", ""station_area"": ""11"", ""battalion"": ""B06"", ""neighborhood_district"": ""Bernal Heights"", ""zipcode_of_incident"": ""94110"", ""received_dttm"": ""2026-01-01T15:12:59.000""}","{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""3"", ""unit_id"": ""M511"", ""unit_type"": ""MEDIC"", ""station_area"": ""11"", ""battalion"": ""B06"", ""neighborhood_district"": ""Bernal Heights"", ""zipcode_of_incident"": ""94110"", ""received_dttm"": ""2026-01-01T15:12:59.000""}","{""unit_id"": ""M511"", ""received_dttm"": ""2026-01-01T15:12:59.000"", ""on_scene_dttm"": ""2026-01-01T15:20:18.000""}","{""unit_id"": ""M511"", ""received_dttm"": ""2026-01-01T15:12:59.000"", ""on_scene_dttm"": ""2026-01-01T15:20:18.000""}"
T13,2026-01-01T09:31:54.000,380.9379,573,Structure Fire / Smoke in Building,Alarm,3,TRUCK,35,B03,Financial District/South Beach,94105,2026-01-01T09:41:27.000,"{""call_type"": ""Structure Fire / Smoke in Building"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""T13"", ""unit_type"": ""TRUCK"", ""station_area"": ""35"", ""battalion"": ""B03"", ""neighborhood_district"": ""Financial District/South Beach"", ""zipcode_of_incident"": ""94105"", ""received_dttm"": ""2026-01-01T09:31:54.000""}","{""call_type"": ""Structure Fire / Smoke in Building"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""T13"", ""unit_type"": ""TRUCK"", ""station_area"": ""35"", ""battalion"": ""B03"", ""neighborhood_district"": ""Financial District/South Beach"", ""zipcode_of_incident"": ""94105"", ""received_dttm"": ""2026-01-01T09:31:54.000""}","{""unit_id"": ""T13"", ""received_dttm"": ""2026-01-01T09:31:54.000"", ""on_scene_dttm"": ""2026-01-01T09:41:27.000""}","{""unit_id"": ""T13"", ""received_dttm"": ""2026-01-01T09:31:54.000"", ""on_scene_dttm"": ""2026-01-01T09:41:27.000""}"
M550,2026-01-01T05:38:19.000,828.7622,986,Medical Incident,Potentially Life-Threatening,2,MEDIC,41,B04,Nob Hill,94109,2026-01-01T05:54:45.000,"{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""2"", ""unit_id"": ""M550"", ""unit_type"": ""MEDIC"", ""station_area"": ""41"", ""battalion"": ""B04"", ""neighborhood_district"": ""Nob Hill"", ""zipcode_of_incident"": ""94109"", ""received_dttm"": ""2026-01-01T05:38:19.000""}","{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""2"", ""unit_id"": ""M550"", ""unit_type"": ""MEDIC"", ""station_area"": ""41"", ""battalion"": ""B04"", ""neighborhood_district"": ""Nob Hill"", ""zipcode_of_incident"": ""94109"", ""received_dttm"": ""2026-01-01T05:38:19.000""}","{""unit_id"": ""M550"", ""received_dttm"": ""2026-01-01T05:38:19.000"", ""on_scene_dttm"": ""2026-01-01T05:54:45.000""}","{""unit_id"": ""M550"", ""received_dttm"": ""2026-01-01T05:38:19.000"", ""on_scene_dttm"": ""2026-01-01T05:54:45.000""}"
E01,2026-01-01T02:53:47.000,439.61563,201,Medical Incident,Potentially Life-Threatening,3,ENGINE,1,B03,South of Market,94103,2026-01-01T02:57:08.000,"{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""3"", ""unit_id"": ""E01"", ""unit_type"": ""ENGINE"", ""station_area"": ""1"", ""battalion"": ""B03"", ""neighborhood_district"": ""South of Market"", ""zipcode_of_incident"": ""94103"", ""received_dttm"": ""2026-01-01T02:53:47.000""}","{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""3"", ""unit_id"": ""E01"", ""unit_type"": ""ENGINE"", ""station_area"": ""1"", ""battalion"": ""B03"", ""neighborhood_district"": ""South of Market"", ""zipcode_of_incident"": ""94103"", ""received_dttm"": ""2026-01-01T02:53:47.000""}","{""unit_id"": ""E01"", ""received_dttm"": ""2026-01-01T02:53:47.000"", ""on_scene_dttm"": ""2026-01-01T02:57:08.000""}","{""unit_id"": ""E01"", ""received_dttm"": ""2026-01-01T02:53:47.000"", ""on_scene_dttm"": ""2026-01-01T02:57:08.000""}"
T03,2026-01-01T00:18:02.000,615.1449,503,Other,Alarm,3,TRUCK,38,B04,Pacific Heights,94109,2026-01-01T00:26:25.000,"{""call_type"": ""Other"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""T03"", ""unit_type"": ""TRUCK"", ""station_area"": ""38"", ""battalion"": ""B04"", ""neighborhood_district"": ""Pacific Heights"", ""zipcode_of_incident"": ""94109"", ""received_dttm"": ""2026-01-01T00:18:02.000""}","{""call_type"": ""Other"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""T03"", ""unit_type"": ""TRUCK"", ""station_area"": ""38"", ""battalion"": ""B04"", ""neighborhood_district"": ""Pacific Heights"", ""zipcode_of_incident"": ""94109"", ""received_dttm"": ""2026-01-01T00:18:02.000""}","{""unit_id"": ""T03"", ""received_dttm"": ""2026-01-01T00:18:02.000"", ""on_scene_dttm"": ""2026-01-01T00:26:25.000""}","{""unit_id"": ""T03"", ""received_dttm"": ""2026-01-01T00:18:02.000"", ""on_scene_dttm"": ""2026-01-01T00:26:25.000""}"
E05,2026-01-01T18:53:38.000,463.28372,444,Medical Incident,Potentially Life-Threatening,3,ENGINE,5,B05,Western Addition,94115,2026-01-01T19:01:02.000,"{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""3"", ""unit_id"": ""E05"", ""unit_type"": ""ENGINE"", ""station_area"": ""5"", ""battalion"": ""B05"", ""neighborhood_district"": ""Western Addition"", ""zipcode_of_incident"": ""94115"", ""received_dttm"": ""2026-01-01T18:53:38.000""}","{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""3"", ""unit_id"": ""E05"", ""unit_type"": ""ENGINE"", ""station_area"": ""5"", ""battalion"": ""B05"", ""neighborhood_district"": ""Western Addition"", ""zipcode_of_incident"": ""94115"", ""received_dttm"": ""2026-01-01T18:53:38.000""}","{""unit_id"": ""E05"", ""received_dttm"": ""2026-01-01T18:53:38.000"", ""on_scene_dttm"": ""2026-01-01T19:01:02.000""}","{""unit_id"": ""E05"", ""received_dttm"": ""2026-01-01T18:53:38.000"", ""on_scene_dttm"": ""2026-01-01T19:01:02.000""}"
KM114,2026-01-01T08:25:54.000,883.6444,1076,Medical Incident,Potentially Life-Threatening,2,PRIVATE,3,B03,Tenderloin,94102,2026-01-01T08:43:50.000,"{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""2"", ""unit_id"": ""KM114"", ""unit_type"": ""PRIVATE"", ""station_area"": ""3"", ""battalion"": ""B03"", ""neighborhood_district"": ""Tenderloin"", ""zipcode_of_incident"": ""94102"", ""received_dttm"": ""2026-01-01T08:25:54.000""}","{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""2"", ""unit_id"": ""KM114"", ""unit_type"": ""PRIVATE"", ""station_area"": ""3"", ""battalion"": ""B03"", ""neighborhood_district"": ""Tenderloin"", ""zipcode_of_incident"": ""94102"", ""received_dttm"": ""2026-01-01T08:25:54.000""}","{""unit_id"": ""KM114"", ""received_dttm"": ""2026-01-01T08:25:54.000"", ""on_scene_dttm"": ""2026-01-01T08:43:50.000""}","{""unit_id"": ""KM114"", ""received_dttm"": ""2026-01-01T08:25:54.000"", ""on_scene_dttm"": ""2026-01-01T08:43:50.000""}"
M509,2026-01-01T16:41:00.000,845.71716,727,Medical Incident,Non Life-threatening,2,MEDIC,36,B02,Tenderloin,94102,2026-01-01T16:53:07.000,"{""call_type"": ""Medical Incident"", ""call_type_group"": ""Non Life-threatening"", ""original_priority"": ""2"", ""unit_id"": ""M509"", ""unit_type"": ""MEDIC"", ""station_area"": ""36"", ""battalion"": ""B02"", ""neighborhood_district"": ""Tenderloin"", ""zipcode_of_incident"": ""94102"", ""received_dttm"": ""2026-01-01T16:41:00.000""}","{""call_type"": ""Medical Incident"", ""call_type_group"": ""Non Life-threatening"", ""original_priority"": ""2"", ""unit_id"": ""M509"", ""unit_type"": ""MEDIC"", ""station_area"": ""36"", ""battalion"": ""B02"", ""neighborhood_district"": ""Tenderloin"", ""zipcode_of_incident"": ""94102"", ""received_dttm"": ""2026-01-01T16:41:00.000""}","{""unit_id"": ""M509"", ""received_dttm"": ""2026-01-01T16:41:00.000"", ""on_scene_dttm"": ""2026-01-01T16:53:07.000""}","{""unit_id"": ""M509"", ""received_dttm"": ""2026-01-01T16:41:00.000"", ""on_scene_dttm"": ""2026-01-01T16:53:07.000""}"
E02,2026-01-01T14:26:15.000,501.7016,323,Alarms,Alarm,3,ENGINE,2,B01,Chinatown,94108,2026-01-01T14:31:38.000,"{""call_type"": ""Alarms"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""E02"", ""unit_type"": ""ENGINE"", ""station_area"": ""2"", ""battalion"": ""B01"", ""neighborhood_district"": ""Chinatown"", ""zipcode_of_incident"": ""94108"", ""received_dttm"": ""2026-01-01T14:26:15.000""}","{""call_type"": ""Alarms"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""E02"", ""unit_type"": ""ENGINE"", ""station_area"": ""2"", ""battalion"": ""B01"", ""neighborhood_district"": ""Chinatown"", ""zipcode_of_incident"": ""94108"", ""received_dttm"": ""2026-01-01T14:26:15.000""}","{""unit_id"": ""E02"", ""received_dttm"": ""2026-01-01T14:26:15.000"", ""on_scene_dttm"": ""2026-01-01T14:31:38.000""}","{""unit_id"": ""E02"", ""received_dttm"": ""2026-01-01T14:26:15.000"", ""on_scene_dttm"": ""2026-01-01T14:31:38.000""}"
AM209,2026-01-01T01:20:47.000,1116.1995,1441,Medical Incident,Non Life-threatening,2,BLS,20,B08,West of Twin Peaks,94116,2026-01-01T01:44:48.000,"{""call_type"": ""Medical Incident"", ""call_type_group"": ""Non Life-threatening"", ""original_priority"": ""2"", ""unit_id"": ""AM209"", ""unit_type"": ""BLS"", ""station_area"": ""20"", ""battalion"": ""B08"", ""neighborhood_district"": ""West of Twin Peaks"", ""zipcode_of_incident"": ""94116"", ""received_dttm"": ""2026-01-01T01:20:47.000""}","{""call_type"": ""Medical Incident"", ""call_type_group"": ""Non Life-threatening"", ""original_priority"": ""2"", ""unit_id"": ""AM209"", ""unit_type"": ""BLS"", ""station_area"": ""20"", ""battalion"": ""B08"", ""neighborhood_district"": ""West of Twin Peaks"", ""zipcode_of_incident"": ""94116"", ""received_dttm"": ""2026-01-01T01:20:47.000""}","{""unit_id"": ""AM209"", ""received_dttm"": ""2026-01-01T01:20:47.000"", ""on_scene_dttm"": ""2026-01-01T01:44:48.000""}","{""unit_id"": ""AM209"", ""received_dttm"": ""2026-01-01T01:20:47.000"", ""on_scene_dttm"": ""2026-01-01T01:44:48.000""}"
AM130,2026-01-01T13:37:45.000,905.6363,844,Medical Incident,Non Life-threatening,2,PRIVATE,1,B03,Tenderloin,94102,2026-01-01T13:51:49.000,"{""call_type"": ""Medical Incident"", ""call_type_group"": ""Non Life-threatening"", ""original_priority"": ""2"", ""unit_id"": ""AM130"", ""unit_type"": ""PRIVATE"", ""station_area"": ""1"", ""battalion"": ""B03"", ""neighborhood_district"": ""Tenderloin"", ""zipcode_of_incident"": ""94102"", ""received_dttm"": ""2026-01-01T13:37:45.000""}","{""call_type"": ""Medical Incident"", ""call_type_group"": ""Non Life-threatening"", ""original_priority"": ""2"", ""unit_id"": ""AM130"", ""unit_type"": ""PRIVATE"", ""station_area"": ""1"", ""battalion"": ""B03"", ""neighborhood_district"": ""Tenderloin"", ""zipcode_of_incident"": ""94102"", ""received_dttm"": ""2026-01-01T13:37:45.000""}","{""unit_id"": ""AM130"", ""received_dttm"": ""2026-01-01T13:37:45.000"", ""on_scene_dttm"": ""2026-01-01T13:51:49.000""}","{""unit_id"": ""AM130"", ""received_dttm"": ""2026-01-01T13:37:45.000"", ""on_scene_dttm"": ""2026-01-01T13:51:49.000""}"
E28,2026-01-01T00:47:03.000,466.45267,1285,Medical Incident,Non Life-threatening,3,ENGINE,28,B01,North Beach,94133,2026-01-01T01:08:28.000,"{""call_type"": ""Medical Incident"", ""call_type_group"": ""Non Life-threatening"", ""original_priority"": ""3"", ""unit_id"": ""E28"", ""unit_type"": ""ENGINE"", ""station_area"": ""28"", ""battalion"": ""B01"", ""neighborhood_district"": ""North Beach"", ""zipcode_of_incident"": ""94133"", ""received_dttm"": ""2026-01-01T00:47:03.000""}","{""call_type"": ""Medical Incident"", ""call_type_group"": ""Non Life-threatening"", ""original_priority"": ""3"", ""unit_id"": ""E28"", ""unit_type"": ""ENGINE"", ""station_area"": ""28"", ""battalion"": ""B01"", ""neighborhood_district"": ""North Beach"", ""zipcode_of_incident"": ""94133"", ""received_dttm"": ""2026-01-01T00:47:03.000""}","{""unit_id"": ""E28"", ""received_dttm"": ""2026-01-01T00:47:03.000"", ""on_scene_dttm"": ""2026-01-01T01:08:28.000""}","{""unit_id"": ""E28"", ""received_dttm"": ""2026-01-01T00:47:03.000"", ""on_scene_dttm"": ""2026-01-01T01:08:28.000""}"
E07,2026-01-01T22:22:33.000,466.6759,337,Medical Incident,Potentially Life-Threatening,3,ENGINE,7,B02,Mission,94110,2026-01-01T22:28:10.000,"{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""3"", ""unit_id"": ""E07"", ""unit_type"": ""ENGINE"", ""station_area"": ""7"", ""battalion"": ""B02"", ""neighborhood_district"": ""Mission"", ""zipcode_of_incident"": ""94110"", ""received_dttm"": ""2026-01-01T22:22:33.000""}","{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""3"", ""unit_id"": ""E07"", ""unit_type"": ""ENGINE"", ""station_area"": ""7"", ""battalion"": ""B02"", ""neighborhood_district"": ""Mission"", ""zipcode_of_incident"": ""94110"", ""received_dttm"": ""2026-01-01T22:22:33.000""}","{""unit_id"": ""E07"", ""received_dttm"": ""2026-01-01T22:22:33.000"", ""on_scene_dttm"": ""2026-01-01T22:28:10.000""}","{""unit_id"": ""E07"", ""received_dttm"": ""2026-01-01T22:22:33.000"", ""on_scene_dttm"": ""2026-01-01T22:28:10.000""}"
M576,2026-01-01T18:52:43.000,519.69763,947,Medical Incident,Non Life-threatening,3,MEDIC,28,B01,North Beach,94133,2026-01-01T19:08:30.000,"{""call_type"": ""Medical Incident"", ""call_type_group"": ""Non Life-threatening"", ""original_priority"": ""3"", ""unit_id"": ""M576"", ""unit_type"": ""MEDIC"", ""station_area"": ""28"", ""battalion"": ""B01"", ""neighborhood_district"": ""North Beach"", ""zipcode_of_incident"": ""94133"", ""received_dttm"": ""2026-01-01T18:52:43.000""}","{""call_type"": ""Medical Incident"", ""call_type_group"": ""Non Life-threatening"", ""original_priority"": ""3"", ""unit_id"": ""M576"", ""unit_type"": ""MEDIC"", ""station_area"": ""28"", ""battalion"": ""B01"", ""neighborhood_district"": ""North Beach"", ""zipcode_of_incident"": ""94133"", ""received_dttm"": ""2026-01-01T18:52:43.000""}","{""unit_id"": ""M576"", ""received_dttm"": ""2026-01-01T18:52:43.000"", ""on_scene_dttm"": ""2026-01-01T19:08:30.000""}","{""unit_id"": ""M576"", ""received_dttm"": ""2026-01-01T18:52:43.000"", ""on_scene_dttm"": ""2026-01-01T19:08:30.000""}"
RC1,2026-01-01T20:30:32.000,454.94244,775,Medical Incident,Potentially Life-Threatening,E,RESCUE CAPTAIN,1,B02,South of Market,94102,2026-01-01T20:43:27.000,"{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""E"", ""unit_id"": ""RC1"", ""unit_type"": ""RESCUE CAPTAIN"", ""station_area"": ""1"", ""battalion"": ""B02"", ""neighborhood_district"": ""South of Market"", ""zipcode_of_incident"": ""94102"", ""received_dttm"": ""2026-01-01T20:30:32.000""}","{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""E"", ""unit_id"": ""RC1"", ""unit_type"": ""RESCUE CAPTAIN"", ""station_area"": ""1"", ""battalion"": ""B02"", ""neighborhood_district"": ""South of Market"", ""zipcode_of_incident"": ""94102"", ""received_dttm"": ""2026-01-01T20:30:32.000""}","{""unit_id"": ""RC1"", ""received_dttm"": ""2026-01-01T20:30:32.000"", ""on_scene_dttm"": ""2026-01-01T20:43:27.000""}","{""unit_id"": ""RC1"", ""received_dttm"": ""2026-01-01T20:30:32.000"", ""on_scene_dttm"": ""2026-01-01T20:43:27.000""}"
B08,2026-01-01T15:09:02.000,530.5893,527,Alarms,Alarm,3,CHIEF,20,B08,Inner Sunset,94131,2026-01-01T15:17:49.000,"{""call_type"": ""Alarms"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""B08"", ""unit_type"": ""CHIEF"", ""station_area"": ""20"", ""battalion"": ""B08"", ""neighborhood_district"": ""Inner Sunset"", ""zipcode_of_incident"": ""94131"", ""received_dttm"": ""2026-01-01T15:09:02.000""}","{""call_type"": ""Alarms"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""B08"", ""unit_type"": ""CHIEF"", ""station_area"": ""20"", ""battalion"": ""B08"", ""neighborhood_district"": ""Inner Sunset"", ""zipcode_of_incident"": ""94131"", ""received_dttm"": ""2026-01-01T15:09:02.000""}","{""unit_id"": ""B08"", ""received_dttm"": ""2026-01-01T15:09:02.000"", ""on_scene_dttm"": ""2026-01-01T15:17:49.000""}","{""unit_id"": ""B08"", ""received_dttm"": ""2026-01-01T15:09:02.000"", ""on_scene_dttm"": ""2026-01-01T15:17:49.000""}"
T10,2026-01-01T16:05:46.000,505.49338,429,Alarms,Alarm,3,TRUCK,31,B07,Lone Mountain/USF,94118,2026-01-01T16:12:55.000,"{""call_type"": ""Alarms"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""T10"", ""unit_type"": ""TRUCK"", ""station_area"": ""31"", ""battalion"": ""B07"", ""neighborhood_district"": ""Lone Mountain/USF"", ""zipcode_of_incident"": ""94118"", ""received_dttm"": ""2026-01-01T16:05:46.000""}","{""call_type"": ""Alarms"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""T10"", ""unit_type"": ""TRUCK"", ""station_area"": ""31"", ""battalion"": ""B07"", ""neighborhood_district"": ""Lone Mountain/USF"", ""zipcode_of_incident"": ""94118"", ""received_dttm"": ""2026-01-01T16:05:46.000""}","{""unit_id"": ""T10"", ""received_dttm"": ""2026-01-01T16:05:46.000"", ""on_scene_dttm"": ""2026-01-01T16:12:55.000""}","{""unit_id"": ""T10"", ""received_dttm"": ""2026-01-01T16:05:46.000"", ""on_scene_dttm"": ""2026-01-01T16:12:55.000""}"
B06,2026-01-01T17:28:39.000,519.00586,365,Alarms,Alarm,3,CHIEF,11,B06,Mission,94110,2026-01-01T17:34:44.000,"{""call_type"": ""Alarms"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""B06"", ""unit_type"": ""CHIEF"", ""station_area"": ""11"", ""battalion"": ""B06"", ""neighborhood_district"": ""Mission"", ""zipcode_of_incident"": ""94110"", ""received_dttm"": ""2026-01-01T17:28:39.000""}","{""call_type"": ""Alarms"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""B06"", ""unit_type"": ""CHIEF"", ""station_area"": ""11"", ""battalion"": ""B06"", ""neighborhood_district"": ""Mission"", ""zipcode_of_incident"": ""94110"", ""received_dttm"": ""2026-01-01T17:28:39.000""}","{""unit_id"": ""B06"", ""received_dttm"": ""2026-01-01T17:28:39.000"", ""on_scene_dttm"": ""2026-01-01T17:34:44.000""}","{""unit_id"": ""B06"", ""received_dttm"": ""2026-01-01T17:28:39.000"", ""on_scene_dttm"": ""2026-01-01T17:34:44.000""}"
E13,2026-01-01T09:04:38.000,421.32635,1067,Medical Incident,Potentially Life-Threatening,A,ENGINE,13,B01,Financial District/South Beach,94111,2026-01-01T09:22:25.000,"{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""A"", ""unit_id"": ""E13"", ""unit_type"": ""ENGINE"", ""station_area"": ""13"", ""battalion"": ""B01"", ""neighborhood_district"": ""Financial District/South Beach"", ""zipcode_of_incident"": ""94111"", ""received_dttm"": ""2026-01-01T09:04:38.000""}","{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""A"", ""unit_id"": ""E13"", ""unit_type"": ""ENGINE"", ""station_area"": ""13"", ""battalion"": ""B01"", ""neighborhood_district"": ""Financial District/South Beach"", ""zipcode_of_incident"": ""94111"", ""received_dttm"": ""2026-01-01T09:04:38.000""}","{""unit_id"": ""E13"", ""received_dttm"": ""2026-01-01T09:04:38.000"", ""on_scene_dttm"": ""2026-01-01T09:22:25.000""}","{""unit_id"": ""E13"", ""received_dttm"": ""2026-01-01T09:04:38.000"", ""on_scene_dttm"": ""2026-01-01T09:22:25.000""}"
